Estado;UF;Região
Rondônia;RO;Norte
Acre;AC;Norte
Amazonas;AM;Norte
Roraima;RR;Norte
Pará;PA;Norte
Amapá;AP;Norte
Tocantins;TO;Norte
Maranhão;MA;Nordeste
Piauí;PI;Nordeste
Ceará;CE;Nordeste
Rio Grande do Norte;RN;Nordeste
Paraíba;PB;Nordeste
Pernambuco;PE;Nordeste
Alagoas;AL;Nordeste
Sergipe;SE;Nordeste
Bahia;BA;Nordeste
Minas Gerais;MG;Sudeste
Espírito Santo;ES;Sudeste
Rio de Janeiro;RJ;Sudeste
São Paulo;SP;Sudeste
Paraná;PR;Sul
Santa Catarina;SC;Sul
Rio Grande do Sul;RS;Sul
Mato Grosso do Sul;MS;Centro-Oeste
Mato Grosso;MT;Centro-Oeste
Goiás;GO;Centro-Oeste
Distrito Federal;DF;Centro-Oeste
